conv_id	prompt	ratings	sender	start	text	timestamp
a2c0f9d8-9390-44ab-9f8c-fb63b94d2dbc	What would happen if the internet just... stopped working?	{'witty': 3, 'upbeat': 3, 'interesting': 3}	414aab22-987b-47b5-87df-95c40eb225ed	2018-05-08T06:20:28Z	I think that most people would have legit heart attacks, and then cry, then maybe go into cardiac arrest. / 	2018-05-08T00:22:31Z
e6da904c-022d-4e2a-bf5e-7c0311c7b140	What's the craziest thing you've ever done?	{'witty': 10, 'upbeat': 10, 'interesting': 10}	ea678c98-e7b5-4df0-bf67-5f7a91c535ef	2018-04-23T08:10:23Z	hi! / 	2018-04-23T02:10:31Z
e6da904c-022d-4e2a-bf5e-7c0311c7b140	What's the craziest thing you've ever done?	{'witty': 10, 'upbeat': 10, 'interesting': 10}	4680e498-ce0d-44ba-871c-54870a7c2eba	2018-04-23T08:10:23Z	Hi! / 	2018-04-23T02:10:37Z
e6da904c-022d-4e2a-bf5e-7c0311c7b140	What's the craziest thing you've ever done?	{'witty': 10, 'upbeat': 10, 'interesting': 10}	ea678c98-e7b5-4df0-bf67-5f7a91c535ef	2018-04-23T08:10:23Z	Craziest thing? I'm not a super exciting person haha / probably riding my bike three miles while carrying two pizza on the handlebars? / or that time I passed out in the supreme court and the police thought I was a terrorist/was causing a diversion for a terrorist attack :P / but I didn't really choose to do that haha / 	2018-04-23T02:11:52Z
e6da904c-022d-4e2a-bf5e-7c0311c7b140	What's the craziest thing you've ever done?	{'witty': 10, 'upbeat': 10, 'interesting': 10}	4680e498-ce0d-44ba-871c-54870a7c2eba	2018-04-23T08:10:23Z	Haha scary... wait are you serious... haha / 	2018-04-23T02:12:18Z
e6da904c-022d-4e2a-bf5e-7c0311c7b140	What's the craziest thing you've ever done?	{'witty': 10, 'upbeat': 10, 'interesting': 10}	ea678c98-e7b5-4df0-bf67-5f7a91c535ef	2018-04-23T08:10:23Z	yeah actually :P / 	2018-04-23T02:12:47Z
e6da904c-022d-4e2a-bf5e-7c0311c7b140	What's the craziest thing you've ever done?	{'witty': 10, 'upbeat': 10, 'interesting': 10}	4680e498-ce0d-44ba-871c-54870a7c2eba	2018-04-23T08:10:23Z	What? Why? Haha / 	2018-04-23T02:12:58Z
e6da904c-022d-4e2a-bf5e-7c0311c7b140	What's the craziest thing you've ever done?	{'witty': 10, 'upbeat': 10, 'interesting': 10}	ea678c98-e7b5-4df0-bf67-5f7a91c535ef	2018-04-23T08:10:23Z	My parents work in Washington DC / so I spent a lot of time in the capitol/senate/etc when I was in high school / 	2018-04-23T02:13:18Z
e6da904c-022d-4e2a-bf5e-7c0311c7b140	What's the craziest thing you've ever done?	{'witty': 10, 'upbeat': 10, 'interesting': 10}	4680e498-ce0d-44ba-871c-54870a7c2eba	2018-04-23T08:10:23Z	Were you on a tour then haha / 	2018-04-23T02:13:28Z
e6da904c-022d-4e2a-bf5e-7c0311c7b140	What's the craziest thing you've ever done?	{'witty': 10, 'upbeat': 10, 'interesting': 10}	ea678c98-e7b5-4df0-bf67-5f7a91c535ef	2018-04-23T08:10:23Z	One day I was in line to see the supreme court, and I wasn't feeling well, and then I woke up on the sidewalk/front steps! / 	2018-04-23T02:13:44Z
